firstname,rightname,first_location,second_location,third_location,phone,link
Exitcom GmbH,Top Partner,Recycling,"Burchard‑Retschy‑Ring 9,",31275 Lehrte,05132 82 49 99,http://www.exitcom.de
Falkensteiner Altstoffhandel Schink,Top Partner,Recycling,"Dorfstädter Str. 17,",08223 Falkenstein/Vogtl.,03745 75 30 27,
H.S Kunststoffrecycling,Top Partner,Recycling,"Gutenbergweg 13,",59519 Möhnesee,02924 4 85 04 00,
Hellmich Recycling GmbH,Top Partner,Recycling,"Industriestr. 57,",31275 Lehrte,05132 5 88 31-30,
Interseroh Management GmbH,Top Partner,Recycling,"Stollwerckstr. 9a,",51149 Köln,02203 91 47-0,
KiesSandRecycling Betrieb Eschdorf,Top Partner,Recycling,"Pirnaer Str. 11,",01328 Dresden,035026 9 19 03,
RCN Rohstoff Center Nürtingen GmbH & Co.KG,Top Partner,Recycling,"Seilerstr. 1,",72622 Nürtingen,07022 3 58 15,
Recycling Betrieb Kall GmbH,Top Partner,Recycling,"Daimlerstr. 1,",53925 Kall,02441 14 54,
Recyclinghof Ortenberg,Top Partner,Recycling,"Außenliegend Orb 7A,",63683 Ortenberg,06046 94 17 20,
Recyclinghof Wallenhorst,Top Partner,Recycling,"Wernher‑von‑Braun‑Str. 12,",49134 Wallenhorst,05407 3 48 18 36,
Recyclingzentrum Bad Freienwalde,Top Partner,Recycling,"Eberswalder Str. 44c,",16259 Bad Freienwalde (Oder),03344 33 45 50,
RRK Rohstoff Recycling Karlsruhe GmbH,Top Partner,Recycling,"Hochbahnstr. 7,",76189 Karlsruhe,0721 5 59 94-0,http://www.derichebourg.com
Scholz Recycling GmbH,Top Partner,Recycling,"Otto‑Hahn‑Str. 11,",41515 Grevenbroich,02181 49 52 70,
TVF Altwert GmbH,Top Partner,Recycling,"Dissenchener Str. 50,",03042 Cottbus,0355 49 38 28-0,
UWE Sondermüll & Recycling GmbH Sondermüllentsorgung,Top Partner,Recycling,"Am Steinbruch 2,",04425 Taucha,034298 3 51-0,
Wertstoffhandel M. Flakowski,Top Partner,Recycling,"Güterbahnhof 3,",06536 Südharz,034651 23 84,
Wertstoffrecycling Ulrich Bajtalla Werkstoffrecycling,Top Partner,Recycling,"Äußere Oybiner Str. 6,",02763 Zittau,03583 79 52 86,
Wirtschaftshof Bergedorf GbR Recycling,Top Partner,Recycling,"Randersweide 91,",21037 Hamburg,040 36 09 46 43,
Wirtschaftshof Bergedorf GbR Recycling,Top Partner,Recycling,"Randersweide 91,",21037 Hamburg,040 36 09 45 65,
Burger Recycling GmbH,Top Partner,Container,"Hasengärtlestr. 52,",88326 Aulendorf,07525 21 75,http://www.burger-recycling.de
REMEX Mineralstoff GmbH,Top Partner,Recycling,"Fischweg 1,",09114 Chemnitz,0371 40 07 55-0,
AHR Alfelder Humus-und Recycling GmbH,Top Partner,Recycling,"In der Masch,",31061 Alfeld,05181 80 76 53,
MBR Recycling GmbH,Top Partner,Recycling,"Wilhelmbusch,",52223 Stolberg,02402 2 66 40,
Ohlig Dienstleistung GmbH & Co. KG,Top Partner,Recycling,"Borsigstr. 17,",51381 Leverkusen,02171 8 93 03,
Övermöhle Recycling GmbH,Top Partner,Recycling,"Im Westerfelde 2,",49577 Kettenkamp,05436 89 67,http://www.oevermoehle-recycling.de/
Recyclang,Top Partner,Recycling,"Im Holderwäldele 1,",76571 Gaggenau,07225 7 65 99,http://www.recyclang.de
Recyclinghof Rastede,Top Partner,Recycling,"Roggenmoorweg,",26180 Rastede,04402 8 35 90,
Reiling MS-Recycling GmbH & Co.KG,Top Partner,Recycling,"Hessenbusch 180,",48157 Münster,0251 9 32 51 80,http://www.reiling.eu/
Goerz Metallhandel GmbH Metalle,Top Partner,Recycling,"Rondenbarg 31,",22525 Hamburg,040 8 50 57 01,
Grumbach GmbH & Co. KG,Top Partner,Recycling,"In der Heide 2,",33428 Harsewinkel,02588 93 01-0,http://www.altpapier.de
Repasack GmbH,Top Partner,Recycling,"Nerotal 4,",65193 Wiesbaden,0611 53 23 03 00,
RKT Recycling Kontor Transportverpackungen GmbH & Co. KG,Top Partner,Recycling,"Waltherstr. 49,",51069 Köln,0221 4 74 46 50,
Drekopf Recyclingzentrum Velbert GmbH,Top Partner,Recycling,"Haberstr. 16‑18,",42551 Velbert,02051 8 04 80,
LRG Recycling GmbH Leverkusen,Top Partner,Recycling,"Kalkstr. 218,",51377 Leverkusen,0214 35 73 73,
Kurz Recycling GmbH,Top Partner,Recycling,"Zeilbaumweg 9,",74613 Öhringen,07941 92 82-0,
Recycling-Börse Second Hand Kaufhaus,Top Partner,Recycling,"Heidestr. 7,",32051 Herford,05221 1 97 19,http://www.recyclingboerse.org
TSR Recycling GmbH,Top Partner,Schrott,"Berthelsdorfer Str. 15,",09618 Brand‑Erbisdorf,037322 5 28 20,http://ww.tsr.eu
Recycling Hof Zieko,Top Partner,Recycling,"An der Chaussee 1,",06869 Coswig (Anhalt),034903 4 77 04,http://www.recyclinghof-zieko.de
Container Riedel Recycling GmbH,Top Partner,Containerdienste,"Am Pattberg 20,",47445 Moers,02841 98 20-0,http://www.riedel-recycling.de
A.S.S. Recycling Alteisen Schrott Schüttegüter,Top Partner,Recycling,"Kielende 3d,",22885 Barsbüttel,040 73 60 07 56,
BSM-Recycling,Top Partner,Recycling,"Ludwigskanalstr. 2,",92348 Berg,09189 41 24 57,
Gollan Recycling GmbH,Top Partner,Recycling,"Südstr. 2,",18546 Sassnitz,038302 22 59,
Igler Recycling GmbH,Top Partner,Recycling,"Ahornstr. 16,",73054 Eislingen/Fils,07161 9 86 34 70,
Uhrmann Recycling OHG,Top Partner,Recycling,"Kranzlwegsiedlung 15,",94133 Röhrnbach,08582 96 26-0,
Winkelmann Recycling GmbH,Top Partner,Recycling,"Heinrich‑Hertz‑Str. 8,",06796 Brehna,034954 18 15 77,
TE-Umwelt u. Recycling Gmbh,Top Partner,Recycling,"Pollebener Str. 3,",06347 Gerbstedt,034783 6 07 41,
Agro Drisa GmbH,Top Partner,Recycling,"Calberlastr. 8,",01326 Dresden,0351 26 30 89 49,
Autorecycling Wittmann,Top Partner,Recycling,"Untere Zell 4,",92263 Ebermannsdorf,09438 94 20 30,
Bauhof,Top Partner,Recycling,"Westbeverner Str. 11,",48346 Ostbevern,02532 78 32,http://www.ostbevern.de
Carl KNOBLAUCH GmbH & Ko. KG Schrottrecycling,Top Partner,Recycling,"Hans‑Rießer‑Str. 8,",74076 Heilbronn,07131 15 67-0,
Dennemarck Robert,Top Partner,Recycling,"Bruckwiesenstr. 32d,",90522 Oberasbach,0176 62 63 73 31,
Lightcycle Retourlogistik und Service GmbH,Top Partner,Recycling,"Elsenheimerstr. 55A,",80687 München,089 4 52 46 69-0,http://www.lightcycle.de
BRB Baustoff-Recycling-Burg GmbH+Co KG,Top Partner,Recycling,"Niegripper Chaussee 35,",39288 Burg,03921 63 58-0,
Kurz Recycling GmbH,Top Partner,Recycling,"Austr. 167,",74076 Heilbronn,07131 74 55 02-0,http://www.kurz-recycling.de/
PR Recycling GmbH,Top Partner,Recycling,"Dieselstr. 9,",70794 Filderstadt,0711 90 77 43-0,http://www.clemenskleine.de/
Abriss + Recycling Vogel U.G. (haftungsbeschränkt) Marcus Vogel,Top Partner,Recycling,"Am Flutgraben 5,",99974 Mühlhausen,03601 42 49 17,http://www.abriss-vogel.de
ACI-Recycling GmbH,Top Partner,Recycling,"Gewerbepark Birkenhain 15,",63579 Freigericht,06051 88 61 03,
Adolf Ellermann GmbH Rohstoff Recycling Osnabrück,Top Partner,Recycling,"Rheinstr. 103,",49090 Osnabrück,0541 9 61 16-0,http://www.rro-gmbh.de/de-DE/Seiten/default.aspx
Aksöz Textilien GmbH,Top Partner,Recycling,"Untere Bahnhofstr. 10,",35094 Lahntal,06420 4 01,
AKTA GmbH,Top Partner,Recycling,"Mühläckerstr. 26,",71642 Ludwigsburg,07144 8 44 28 62,http://www.akta.de
ALBA Nord GmbH thermische Abfallverwertungsanlagen,Top Partner,Recycling,"Am alten Flughafen 1,",19288 Ludwigslust,03874 25 07 10,
Aluminium-Krüger GmbH,Top Partner,Recycling,"Siemensstr. 19,",33415 Verl,05246 37 92,http://www.aluminium-krueger.de
Andorfer Sebastian GmbH & Co. KG Metallrecycling,Top Partner,Recycling,"Am Donauhafen 6,",94315 Straubing,09421 99 40-0,
B + M Recycling GmbH,Top Partner,Recycling,"Eichenstr. 83,",65933 Frankfurt am Main,069 39 09 05 40,
B + T Plastics GmbH,Top Partner,Recycling,"Am Kalkwerk 4,",36137 Großenlüder,06648 9 11 08 30,
Basi GmbH,Top Partner,Recycling,"Alter Postweg 28,",32469 Petershagen,05707 93 96 55,http://www.basigmbh.de
Bernd Hagen Recycling und Baustoffe GmbH,Top Partner,Recycling,"Rendsburger Str. 345,",24537 Neumünster,04321 7 83 43 20,
BMC Bodenmanagement Celle Inh. Horst Wrogemann,Top Partner,Recycling,"Sprengerstr. 44I,",29223 Celle,05141 2 78 42 55,http://www.bm-celle.de
Bollmer Umwelt GmbH,Top Partner,Recycling,"Am langen Graben 13,",49835 Wietmarschen,05925 99 66-0,http://www.bollmer.de
BORAG Bodenrecycling Allgäu GmbH,Top Partner,Recycling,"Röntgenring 15,",87616 Marktoberdorf,08342 9 61 08 20,
Bronneberg Deutschland GmbH,Top Partner,Recycling,"Rudolf‑Diesel‑Str. 42,",68169 Mannheim,0621 3 28 91 78-0,http://www.bronneberg.de
BRS Entsorgung GmbH,Top Partner,Recycling,"Am Bernstein 35,",57250 Netphen,02738 30 76 30,http://www.brs-entsorgung.de
BRZ Bauschutt-Recycling-Zentrum Odenwald GmbH & Co. KG,Top Partner,Recycling,"Neckarstr. 147,",64711 Erbach,06062 26 67 98,
BSB Recycling GmbH,Top Partner,Recycling,"Emser Str. 11,",56338 Braubach,02627 98 10,
BVE Dienstleistungen GmbH,Top Partner,Recycling,"Ratsgasse 7,",37308 Heilbad Heiligenstadt,03606 61 99 26,http://www.BVE-Leistungsgruppe.de
CD Recycling GmbH,Top Partner,Recycling,"Kloster Schäftlarn 3,",82067 Kloster Schäftlarn,08178 95 50 03,http://www.cd-recycling-gmbh.de
CLiQ SwissTech (Deutschland) GmbH,Top Partner,Recycling,"Hauptstr. 97,",51465 Bergisch Gladbach,02202 2 51 65 91,
CoRa Tech GmbH Ges. für Recycling u. Umweltberatung,Top Partner,Recycling,"Beneckestr. 4,",31224 Peine,05171 1 20 57,http://www.coratech.com
CR-Solutions GmbH,Top Partner,Recycling,"Ochsenfurter Str. 4,",97246 Eibelstadt,09303 98 10 80,http://www.cr-solutions.com
Däsa Wiederverwertungs GmbH,Top Partner,Recycling,"Lanzstr. 5,",68789 St. Leon‑Rot,06227 5 57 07,http://www.textilverwertung.com
Deka-Metall Inh. Dieter Kaufmann Dieter,Top Partner,Recycling,"Im Gaiern 2,",75181 Pforzheim,07231 7 47 40,http://www.deka-metall.de
Demski Heinz Recyclingagentur GmbH,Top Partner,Recycling,"Föhrenstr. 76,",28207 Bremen,0421 4 17 41 98,http://www.demski-recycling.de
Der Grüne Punkt-Duales System Deutschland GmbH,Top Partner,Recycling,"Weidestr. 122A,",22083 Hamburg,040 52 80 04-0,
Die Bremer Wertstoff- und Recycling GmbH,Top Partner,Recycling,"Mittelkampstr. 1,",28197 Bremen,0421 59 75 68 90,http://www.bremer-wertstoff.de
DIRECTrecycling GmbH - Handel mit Altpapier Papierrecycling,Top Partner,Recycling,"Ottostr. 10,",24145 Kiel,0431 26 04 20-0,
documentus GmbH Göttingen,Top Partner,Recycling,"Im Rinschenrott 2F,",37079 Göttingen,0551 38 42 05-70,http://www.documentus-goettingen.de
Doppstadt Calbe GmbH,Top Partner,Recycling,"Barbyer Chaussee 3,",39240 Calbe (Saale),039291 55-0,http://www.doppstadt.com
DÖRING Bauschuttaufbereitung & Abbruch GmbH & Co. KG,Top Partner,Recycling,"Kaschower Damm 28,",18507 Grimmen,,
Drekopf Recyclingzentrum Leipzig GmbH Entsorgung und Recycling,Top Partner,Recycling,"Im Mittelfeld 9,",04509 Krostitz,034294 8 28-0,http://www.drekopf.de
E. R. N. Elektro-Recycling Nord GmbH,Top Partner,Recycling,"Peutestr. 21‑23,",20539 Hamburg,040 78 04 78-0,
Easy Recycling GmbH,Top Partner,Recycling,"Jeersdorfer Weg 22,",27356 Rotenburg,04261 96 10 80-11,http://www.easy-recycling.de
eds-r GmbH,Top Partner,Recycling,"Maybachstr. 18,",90441 Nürnberg,0911 4 24 77-0,
Eko-plant GmbH,Top Partner,Recycling,"Südstrandpolder 1,",26548 Norderney,04932 17 56,http://www.eko-plant.de/
Elmerec Handelsgesellschaft für Elektronik- und Metallrecycling,Top Partner,Recycling,"Winkelberger Höhe 22,",76476 Bischweier,07222 94 97 50,http://www.edelmetallrecycling.de
Ensace GmbH Kunststoffverwertung,Top Partner,Recycling,"Weinerpark 19,",48607 Ochtrup,02553 72 67 80,http://www.ensace.de
ERS Elektro Recycling Service GmbH,Top Partner,Recycling,"Dresdner Str. 2,",32423 Minden,0571 3 86 44 60,https://www.ersgmbh.com/
ETH Entsorgungs-Management GmbH,Top Partner,Recycling,"Hammer Deich 104‑116,",20537 Hamburg,040 8 19 78 23-0,
ETH Entsorgungs-Management GmbH Recycling,Top Partner,Recycling,"Carl‑Zeiss‑Str. 12‑14,",21465 Reinbek,040 78 07 05 42,
Eu-Rec Plast GmbH,Top Partner,Recycling,"Ostkai 8,",54293 Trier,0651 9 95 51 60,
eu-rotec Putzlappen- und Textilrecycling Produktions GmbH,Top Partner,Recycling,"Schacht‑Anna‑Ring 5,",38268 Lengede,05344 50 55,http://www.eu-rotec.de
Feba GmbH,Top Partner,Recycling,"Blankreutestr. 22,",79108 Freiburg,0761 13 52 11,http://www.febarecycling.de
FISCHER cyclepor® Deutschland GmbH - Werk Hildesheim,Top Partner,Recycling,"Bavenstedter Str. 95,",31135 Hildesheim,05121 51 00 20,http://www.fischergruppe.eu
Förderges. Abfall- Wertstoffbeh. mbH,Top Partner,Recycling,"Siegburger Str. 126,",50679 Köln,0221 9 46 99 79,
Franz Rau Recycling,Top Partner,Recycling,"Benzstr. 4,",67141 Neuhofen,06236 5 10 46,http://www.rau-recycling.de
Friedel Kunststoffrecycling GmbH,Top Partner,Recycling,"Werkstr. 1,",89558 Böhmenkirch,07332 92 41 14,
FWS GmbH,Top Partner,Recycling,"Außer der Schleifmühle 65,",28203 Bremen,0421 3 46 25-0,http://www.fws.de
GAR Gesellschaft für Abfall und Recycling GmbH,Top Partner,Recycling,"Carl‑Zeiss‑Str. 6,",28816 Stuhr,0421 87 71 60,http://www.GAR-GmbH.de
GAV Gummiaufbereitungs- und Verwertungsges. UG (haftungsbeschränkt),Top Partner,Recycling,"Dullwalsweg 8,",33161 Hövelhof,05257 92 41 12,http://www.gummientsorgung.de
Georg Simon GmbH Abfallrecycling,Top Partner,Recycling,"Lerchenfeld 15,",91459 Markt Erlbach,09106 9 24 30-0,
Gesellschaft für Abfallaufbereitung Barenburg GmbH,Top Partner,Recycling,"Sandstr. 12,",27232 Sulingen,04271 9 44-0,http://www.gaambh.de
GFR Gesellschaft für Recycling mbH,Top Partner,Recycling,"Siebenstücken 10,",24558 Henstedt‑Ulzburg,04193 8 82 09-10,
Glasklar Kurpfalz GmbH,Top Partner,Recycling,"Im Schlangengarten 50,",76877 Offenbach an der Queich,06348 88 84,
Glasrecycling Neuburg GmbH & Co. KG,Top Partner,Recycling,"Ruhrstr. 4,",86633 Neuburg,08431 4 22 88,http://www.gr-neuburg.de
GMR Gesellschaft für Metallrecycling mbH,Top Partner,Recycling,"Naumburger Str. 24,",04229 Leipzig,0341 49 72 00-0,http://www.gmr-leipzig.de
"Görgens GmbH, Herta",Top Partner,Recycling,"Im Rohnweiher 45,",53797 Lohmar,02205 90 17 14,
GPI General Plastic International GmbH Recycling Handel,Top Partner,Recycling,"Siebenstücken 10,",24558 Henstedt‑Ulzburg,04193 8 82 09-70,
Grafenberg-Metall GmbH,Top Partner,Recycling,"Entenmühlstr. 48,",66424 Homburg,06841 18 97 60,
Grannex Recycling-Technik Beteiligungsges. mbH Recycling,Top Partner,Recycling,"Dornierstr. 11,",49090 Osnabrück,0541 7 70 40-0,http://www.grannex.de
Grimm MED Logistik GmbH,Top Partner,Recycling,"Ukranenstr. 9,",17358 Torgelow,03976 28 03 10,http://www.grimm-aquacleaning.de
GVÖ Gebinde-Verwertungsgesellschaft der Mineralölwirtschaft,Top Partner,Recycling,"Schopenstehl 20,",20095 Hamburg,040 28 08 59-0,
GWAB mbH,Top Partner,Recycling,"Westendstr. 15,",35578 Wetzlar,06441 92 47 50,
Hans Dieter Goetze Recycling UG (haftungsbeschränkt),Top Partner,Recycling,"Hans‑Böckler‑Str. 28,",64521 Groß‑Gerau,06152 8 19 69,
Harz-Humus Recycling GmbH,Top Partner,Recycling,"Am Lagerweg 31,",06484 Ditfurt,03946 90 70 70,http://www.harzhumus.de
"HDB Handel, Dienstleistung und",Top Partner,Recycling,"Hasenwinkel 10,",39619 Arendsee (Altmark),039384 9 88-0,http://www.hdb-arendsee.de
Heinrich,Top Partner,Recycling,"Wecostr. 19,",53783 Eitorf,02243 9 23 65 25,
Höfer G. Flaschenreinigung,Top Partner,Recycling,"Im Seelein 10,",97332 Volkach,09381 80 68-0,
Holler Recycling GmbH & Co.KG,Top Partner,Recycling,"Davenstedter Str. 136,",30453 Hannover,0511 21 10 51-10,http://www.holler-recycling.de
Hot Schrott GmbH Recycling von Heizungsanlagen,Top Partner,Recycling,"In der Weide 52,",21037 Hamburg,040 7 37 25 69,
Huhn GmbH & Co. KG,Top Partner,Recycling,"Siedlung Sonnenhof 1,",55758 Idar‑Oberstein,06784 24 32,
INTEGRAL - soziale und ökologische Dienstleistungen - gemeinnützige GmbH,Top Partner,Recycling,"Kasselerstr. 70,",35091 Cölbe,06421 9 85 40,
INTERSEROH Management GmbH,Top Partner,Recycling,"Dieselstr. 52,",60314 Frankfurt am Main,069 42 69 40 50,
INTERSEROH Management GmbH,Top Partner,Recycling,"Saarstr.,",66359 Bous,06834 9 20 20,
IRV INTERROH Rohstoffverwertungs GmbH,Top Partner,Recycling,"Otto‑Perutz‑Str. 9,",81829 München,089 45 15 80-0,http://www.irv-interroh.de
JS Recycling GmbH,Top Partner,Recycling,"Am Hallenbad 9,",53925 Kall,02441 77 95 45,
K + S Kali GmbH,Top Partner,Recycling,"Bertha‑von‑Suttner‑Str. 7,",34131 Kassel,0561 9 30 10,
Kenngott Dieter,Top Partner,Recycling,"Lerchenweg 2,",77963 Schwanau,07824 4 73 09,http://www.kenngott-recycling.de
Knittel Mario,Top Partner,Recycling,"Hachumer Str. 20,",31167 Bockenem,05067 60 24,http://www.knittel-info.de
Koppitz Entsorgungs GmbH,Top Partner,Recycling,"Klingenstr. 8,",97478 Knetzgau,09527 92 22-0,
KPV GmbH,Top Partner,Recycling,"Weinbergstr. 25,",67591 Mörstadt,06247 61 27,
Kraft - Recycling GmbH,Top Partner,Recycling,"Am Speckenbach 4,",34587 Felsberg,05662 93 00 06,
Kronenberger Oecotec GmbH,Top Partner,Recycling,"Langwies 27,",66802 Überherrn,06836 91 90 90,
Kühl Entsorgung und Recycling Süd GmbH,Top Partner,Recycling,"Am Mittleren Moos 60,",86167 Augsburg,0821 74 90 52-0,
Kurz Entsorgung GmbH,Top Partner,Recycling,"Mergelgrube 21,",76646 Bruchsal,07251 95 75-0,http://www.vollmer-entsorgung.de
L. Karoleski Recycling Rohstoffe f. d. Papier- u. Kunststoffindustrie,Top Partner,Recycling,"Goethestr. 12,",25335 Elmshorn,04121 8 20 55,
LARS Lampen-Recycling und Service GmbH Lampen-Recycling Recyclingdienstleister für Gasentladungslampen,Top Partner,Recycling,"Valentinskamp 24,",20354 Hamburg,040 3 11 12-1 88,
LGR Lothar Gedenk Recycling GmbH,Top Partner,Recycling,"Karl‑Legien‑Str. 10,",45356 Essen,0201 8 33 93 33,http://www.lgr-essen.de
Linus München GmbH gemeinnützige Gesellschaft für Qualifizierung und Arbeit,Top Partner,Recycling,"Karl‑Schmid‑Str. 11,",81829 München,089 1 89 08 09-0,http://www.linus-muenchen.de
Lobbe Entsorgung West GmbH & Co. KG,Top Partner,Recycling,"Rötloh 13,",58802 Balve,02375 9 39 60,http://www.balver-containerdienst.de
Loges e.K. Wilhelm Loges,Top Partner,Recycling,"Martin‑Luther‑Str. 2,",31185 Söhlde,05129 73 33,http://www.kreidekalk-aus-soehlde.de
LüneRecycling GmbH & Co. KG,Top Partner,Recycling,"Am Alten Werk 52,",21406 Melbeck,04134 9 09 17 53,http://www.luenerecycling.de
MAD,Top Partner,Recycling,"Hilchenbacher Str. 13,",04509 Krostitz,034295 7 48-0,http://www.mad-altpapier.de
Magnesium Solutions Europe GmbH,Top Partner,Recycling,"Am Förderturm 1,",99706 Sondershausen,03632 66 79 80,http://www.mse-recycling.de
Marieneher Umweltschutz und Recycling GmbH Umweltschutz,Top Partner,Recycling,"Marieneher Str. 10A,",18069 Rostock,0381 8 65 18-0,
Matthes GmbH,Top Partner,Recycling,"Albert‑Niethammer‑Str. 14,",01609 Gröditz,035263 6 13 60,http://www.matthes-entsorgung.de
Max Aicher Recycling GmbH - Betriebsstätte Amberg Recycling,Top Partner,Recycling,"Sulzbacher Str. 132,",92224 Amberg,09621 67 59-0,
Medentex GmbH,Top Partner,Recycling,"Piderits Bleiche 11,",33689 Bielefeld,05205 7 51 60,http://www.medentex.de
meetra Recycling-Maschinen Inh. Dietmar Meenken,Top Partner,Recycling,"Windmühlenweg 9,",26203 Wardenburg,04407 92 22 69,http://www.meetra-recycling.de
Meister Kabelrecycling,Top Partner,Recycling,"Am Stadtwald 10,",08525 Plauen,03741 5 53 70-0,
MESATEX Nord GmbH & Co. KG,Top Partner,Recycling,"Tiefer Hellweg 16,",59590 Geseke,02942 9 88 83 50,http://www.mesatex.de
Metall-Konzentrat und Recycling GmbH,Top Partner,Recycling,"Heerter Str. 55,",38229 Salzgitter,05341 83 36 66-0,http://www.mekon-recycling.com
Metallrecyling Veit GmbH,Top Partner,Recycling,"Im Gewerbepark 1,",07646 Stadtroda,036428 4 06 60,http://www.metallrecycling-veit.de
Metcera-Handel OG,Top Partner,Recycling,"Edisonstr. 9,",04420 Markranstädt,034205 1 87 34,http://www.kerzen-kolloff.de
Mineralölhandel Hans Schmidt GmbH & Co. KG,Top Partner,Recycling,"Möhnestr. 19,",63452 Hanau,06181 6 22 91,
MKA Recycling GmbH,Top Partner,Recycling,"Blumhardtstr. 17,",49824 Ringe,05944 99 51 26,http://www.mkarecycling.de
MPM Environment Intelligence KG,Top Partner,Recycling,"Bahnhofstr. 3A,",37539 Bad Grund (Harz),05327 8 69 60-0,http://www.envint.de
MRG Rückbau und Recycling GmbH,Top Partner,Recycling,"Yorckstr. 13,",37627 Stadtoldendorf,05532 99 49 14,http://www.regionalentsorger.de
MT-Kabelrecycling GmbH,Top Partner,Recycling,"Daimlerring 6,",65205 Wiesbaden,06122 7 04 11 21,
Müller Otto A. Recycling GmbH Handel mit Biobrennstoffen,Top Partner,Recycling,"Große Str. 2,",22926 Ahrensburg,04102 8 91 38-40,
Müllverwertung Rugenberger Damm GmbH,Top Partner,Recycling,"Rugenberger Damm 1,",21129 Hamburg,040 7 41 86-1 00,
Neovis GmbH & Co. KG,Top Partner,Recycling,"Lippstädter Str. 42,",48155 Münster,0251 87 13 67-0,http://www.neovis.eu
Optisys GmbH Recyclingsysteme,Top Partner,Recycling,"Kronskamp 105‑107,",22880 Wedel,04103 93 63 25,
ORD Oberhessische Recycling Dienste GmbH,Top Partner,Recycling,"Homburger Str. 9,",61169 Friedberg (Hessen),06031 77 06 44,
OSR GmbH & Co. KG,Top Partner,Recycling,"Gartenstr. 105,",73430 Aalen,07361 8 14 99 72,http://www.osr-rohstoffe.de
PAL PLAST Kunststoffhandel GmbH,Top Partner,Recycling,"Lämmerspieler Str. 8,",63165 Mühlheim am Main,06108 70 50,
PAV Projektbezogene Abfallverwertung Burkhard Lemke e.K.,Top Partner,Recycling,"Am Krummbach 5,",29553 Bienenbüttel,05823 95 37 00,
Peter Winfried Kuhn Umwelttechnik,Top Partner,Recycling,"Untere Ufergasse 5,",09232 Hartmannsdorf b. Chemnitz,03722 9 28 11,http://www.uwt-kuhn.de
Posniak Recycling GmbH,Top Partner,Recycling,"Heerter Str. 39,",38229 Salzgitter,05341 4 92 54,http://www.posniak-entsorgung.de
RDE Rücknahmen Demontagen Elektronik-Recycling GmbH,Top Partner,Recycling,"Im Gewerbegebiet 9,",55774 Baumholder,06783 9 93 70,
recycle it GmbH Recycling von Informationstechnologien,Top Partner,Recycling,"Steinrinnenweg 1,",87745 Eppishausen,08266 10 47,
Recycling-Centrum Seevetal GmbH Recycling,Top Partner,Recycling,"Brookdamm 26,",21217 Seevetal,040 7 68 70 55,
Recycling Dr.-Ing. Steffen Sickert GmbH Recycling,Top Partner,Recycling,"Bautzner Str. 45‑47,",01099 Dresden,0351 8 08 38-0,
Recycling-Hof Hemelingen,Top Partner,Recycling,"An der Grenzpappel 3,",28309 Bremen,0421 41 47 41,http://www.recycling-hoefe-bremen.de
Recycling-Park Harz GmbH,Top Partner,Recycling,"Morgenrot 12A,",06484 Quedlinburg,03946 52 54 72,http://www.recyclingpark.de
Recycling-Zentrum Grünstadt,Top Partner,Recycling,"Von‑Ketteler‑Ring 19,",67269 Grünstadt,06359 9 46 46 08,
Reifen-Recycling GmbH,Top Partner,Recycling,"Berliner Str. 156,",06258 Schkopau,0345 7 82 13 07,http://www.abschleppdienst-naumann.de
Reifen Recyclingbetrieb Brenz GmbH,Top Partner,Recycling,"Am Brenzer Kanal 6,",19306 Brenz,038757 3 00 30,
Reiling Glas Recycling,Top Partner,Recycling,"Bussemasstr. 49,",33428 Marienfeld,05247 98 03-0,http://www.reiling.eu
Reiling MS-Recycling-GmbH,Top Partner,Recycling,"Zum Heidehof 87,",48157 Münster,0251 24 99 77,http://www.reiling.eu
REMITEX GmbH,Top Partner,Recycling,"Zur Wörthspitze 13,",76726 Germersheim,07274 7 68 92,
REMONDIS Assets & Services GmbH & Co. KG,Top Partner,Recycling,"Staffelberg 8,",66954 Pirmasens,06331 5 13 90,
REMONDIS GmbH,Top Partner,Recycling,"Siemensstr. 16,",79108 Freiburg,0761 5 15 09-0,http://www.der-fix.de
REMONDIS GmbH & Co. KG,Top Partner,Recycling,"Detmoldstraße 12‑14,",80935 München,089 64 96 49 90,http://www.remondis-sued.de
REMONDIS GmbH & Co. KG,Top Partner,Recycling,"Zamdorfer Straße 16‑18,",81677 München,089 8 92 13 60,http://www.remondis-sued.de
Remondis GmbH Entsorgungsbetrieb,Top Partner,Recycling,"Im Kressgraben 25,",74257 Untereisesheim,07132 99 89-0,
REMONDIS Olpe GmbH,Top Partner,Recycling,"Rother Stein 2,",57462 Olpe Biggesee,02761 92 30,https://www.remondis-rheinland.de/remondis-olpe/sonderseiten/remondis-olpe-gmbh/
Resolve,Top Partner,Recycling,"Grotrian‑Steinweg‑Str. 3,",38112 Braunschweig,0531 2 10 31-0,http://www.photorecycling.de
Retextil Recycling International GmbH & Co. KG,Top Partner,Recycling,"Carl‑Zeiss‑Str. 6,",27211 Bassum,04241 8 04 88-0,http://www.retextil.de
RIGK GmbH,Top Partner,Recycling,"Friedrichstr. 6,",65185 Wiesbaden,0611 3 08 60 00,
RMI Richard Mayer Industrie-u.,Top Partner,Recycling,"Freiämter Str. 5,",79312 Landeck,07641 95 50 53,http://www.richard-mayer.com
Roland Gussetti OHG,Top Partner,Recycling,"Allmendring 18,",75203 Königsbach‑Stein,07232 3 13 31-0,http://www.recycling-gussetti.de
